M = 0  out of  399
M = 40  out of  399
M = 80  out of  399
M = 120  out of  399
M = 160  out of  399
M = 200  out of  399
M = 240  out of  399
M = 280  out of  399
M = 320  out of  399
M = 360  out of  399
         3410443 function calls (3404904 primitive calls) in 325.778 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:31(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:314(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:314(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:319(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:321(StringVar)
        1    0.000    0.000    0.000    0.000 __init__.py:3287(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3298(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:3335(Image)
        1    0.000    0.000    0.000    0.000 __init__.py:335(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3395(PhotoImage)
        1    0.000    0.000    0.000    0.000 __init__.py:343(IntVar)
        1    0.000    0.000    0.000    0.000 __init__.py:345(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:3459(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:3474(Spinbox)
       28    0.001    0.000    0.015    0.001 __init__.py:359(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:3632(LabelFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:3654(PanedWindow)
        1    0.000    0.000    0.000    0.000 __init__.py:366(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:374(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:376(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:382(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:385(BooleanVar)
        1    0.000    0.000    0.000    0.000 __init__.py:391(StrFormatStyle)
        4    0.000    0.000    0.000    0.000 __init__.py:396(_wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:400(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:400(silent_list)
     13/9    0.000    0.000    0.000    0.000 __init__.py:406(wrapper)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:414(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:415(__init__)
      148    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
      148    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:424(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:426(IgnoredKeywordWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:428(Misc)
        2    0.000    0.000    0.023    0.011 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:468(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:479(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:480(CFunctionType)
        4    0.000    0.000    0.000    0.000 __init__.py:487(cast)
        1    0.000    0.000    0.000    0.000 __init__.py:491(Bunch)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:504(__init__)
       76    0.000    0.000    0.000    0.000 __init__.py:518(iterable)
        1    0.000    0.000    0.000    0.000 __init__.py:524(checkdep_ps_distiller)
        1    0.000    0.000    0.000    0.000 __init__.py:558(checkdep_usetex)
        1    0.000    0.000    0.003    0.003 __init__.py:56(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:588(_get_home)
        1    0.000    0.000    0.000    0.000 __init__.py:597(BufferingFormatter)
        2    0.000    0.000    0.000    0.000 __init__.py:622(_get_xdg_config_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:636(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:639(Filter)
        4    0.000    0.000    0.000    0.000 __init__.py:650(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:67(converter)
        1    0.000    0.000    0.000    0.000 __init__.py:676(Filterer)
       19    0.000    0.000    0.000    0.000 __init__.py:681(__init__)
