         266664 function calls (261463 primitive calls) in 0.405 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.002    0.002 socket.py:47(<module>)
        1    0.000    0.000    0.001    0.001 image.py:5(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:182(Dvi)
       18    0.000    0.000    0.000    0.000 __init__.py:1245(__init__)
       34    0.000    0.000    0.000    0.000 pyparsing.py:2351(__init__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1631(_ip_int_from_string)
       24    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
       17    0.000    0.000    0.000    0.000 __init__.py:1189(_fixupParents)
       51    0.000    0.000    0.000    0.000 _internal.py:703(_ufunc_doc_signature_formatter)
      121    0.000    0.000    0.000    0.000 pyparsing.py:938(preParse)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       37    0.000    0.000    0.000    0.000 pyparsing.py:1846(parseImpl)
       27    0.000    0.000    0.000    0.000 locale.py:627(getpreferredencoding)
       88    0.000    0.000    0.018    0.000 re.py:222(compile)
        1    0.000    0.000    0.020    0.020 collections.py:10(<module>)
        1    0.000    0.000    0.004    0.004 dates.py:137(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
       65    0.000    0.000    0.001    0.000 pyparsing.py:830(copy)
      148    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
     1044    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.010    0.010 utils.py:4(<module>)
       65    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.023    0.023 text.py:3(<module>)
        9    0.000    0.000    0.000    0.000 datetime.py:338(__new__)
       35    0.000    0.000    0.000    0.000 os.py:720(__getitem__)
        1    0.000    0.000    0.000    0.000 colors.py:80(<dictcomp>)
        1    0.000    0.000    0.022    0.022 request.py:68(<module>)
       82    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
