M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         49944522 function calls (49937501 primitive calls) in 1951.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.008    0.001 hashlib.py:116(__get_openssl_constructor)
        8    0.000    0.000    0.008    0.001 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.007    0.007 cm.py:6(<module>)
     1694    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.007    0.007 pyparsing.py:5428(pyparsing_common)
      475    0.007    0.000    0.007    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     1751    0.007    0.000    0.007    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.007    0.007 _backend_tk.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _constrained_layout.py:16(<module>)
     2360    0.001    0.000    0.007    0.000 enum.py:265(__call__)
        1    0.000    0.000    0.007    0.007 legend.py:22(<module>)
    27553    0.006    0.000    0.006    0.000 {built-in method _operator.index}
     3640    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     1665    0.003    0.000    0.006    0.000 parser.py:139(<genexpr>)
        1    0.000    0.000    0.006    0.006 pickle.py:24(<module>)
      150    0.000    0.000    0.006    0.000 cm.py:68(_generate_cmap)
        1    0.000    0.000    0.006    0.006 patches.py:1(<module>)
        1    0.000    0.000    0.006    0.006 lines.py:4(<module>)
       64    0.001    0.000    0.006    0.000 colors.py:697(from_list)
        1    0.000    0.000    0.006    0.006 ssl.py:91(<module>)
        1    0.000    0.000    0.005    0.005 blas.py:202(<module>)
       27    0.000    0.000    0.005    0.000 pyparsing.py:2779(__init__)
        1    0.000    0.000    0.005    0.005 case.py:1(<module>)
     1045    0.001    0.000    0.005    0.000 colors.py:134(to_rgba)
        1    0.000    0.000    0.005    0.005 _ellip_harm.py:1(<module>)
     1298    0.001    0.000    0.005    0.000 {built-in method builtins.any}
      746    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.005    0.005 subprocess.py:42(<module>)
        1    0.000    0.000    0.005    0.005 _axes.py:118(Axes)
       13    0.000    0.000    0.005    0.000 enum.py:602(_convert)
        1    0.000    0.000    0.005    0.005 dates.py:134(<module>)
    29343    0.005    0.000    0.005    0.000 contract.py:408(<listcomp>)
        1    0.000    0.000    0.005    0.005 font_manager.py:880(json_load)
       19    0.000    0.000    0.005    0.000 rcsetup.py:825(validate_cycler)
        1    0.000    0.000    0.005    0.005 __init__.py:274(load)
        1    0.000    0.000    0.005    0.005 mlab.py:155(<module>)
       30    0.000    0.000    0.005    0.000 __init__.py:826(__init__)
       31    0.000    0.000    0.005    0.000 _collections_abc.py:824(update)
        3    0.000    0.000    0.005    0.002 __init__.py:302(loads)
        3    0.000    0.000    0.005    0.002 decoder.py:334(decode)
        3    0.002    0.001    0.005    0.002 decoder.py:345(raw_decode)
        1    0.000    0.000    0.004    0.004 _base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:10(<module>)
      812    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.004    0.004 offsetbox.py:15(<module>)
      492    0.001    0.000    0.004    0.000 rcsetup.py:358(validate_color)
        1    0.000    0.000    0.004    0.004 __init__.py:31(<module>)
      178    0.000    0.000    0.004    0.000 rcsetup.py:69(f)
      467    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
     1072    0.001    0.000    0.004    0.000 enum.py:801(__and__)
        1    0.000    0.000    0.004    0.004 mathtext.py:2202(Parser)
       39    0.001    0.000    0.004    0.000 __init__.py:1613(param)
        1    0.000    0.000    0.004    0.004 mathtext.py:2738(<lambda>)
        1    0.000    0.000    0.004    0.004 mathtext.py:2738(<listcomp>)
       18    0.002    0.000    0.004    0.000 enum.py:124(__new__)
        1    0.000    0.000    0.004    0.004 py3k.py:4(<module>)
      439    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        1    0.000    0.000    0.004    0.004 index_tricks.py:1(<module>)
      126    0.000    0.000    0.004    0.000 deprecation.py:178(deprecate)
       14    0.000    0.000    0.004    0.000 enum.py:364(_create_)
        1    0.000    0.000    0.004    0.004 __init__.py:928(rc_params)
       10    0.000    0.000    0.004    0.000 pyparsing.py:4280(__init__)
       12    0.000    0.000    0.004    0.000 artist.py:1094(__init__)
        1    0.000    0.000    0.004    0.004 image.py:4(<module>)
      491    0.000    0.000    0.004    0.000 colors.py:105(is_color_like)
      372    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
       11    0.000    0.000    0.003    0.000 pyparsing.py:1608(parseString)
    33/10    0.000    0.000    0.003    0.000 pyparsing.py:3772(leaveWhitespace)
    21508    0.003    0.000    0.003    0.000 parser.py:22(is_valid_einsum_char)
