M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         15788728 function calls (15781629 primitive calls) in 1157.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 cm.py:6(<module>)
        1    0.000    0.000    0.007    0.007 pyparsing.py:5428(pyparsing_common)
      383    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     1745    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.007    0.007 _backend_tk.py:1(<module>)
      948    0.005    0.000    0.007    0.000 synchronize.py:95(__enter__)
     1422    0.007    0.000    0.007    0.000 {built-in method posix.pipe}
     1802    0.007    0.000    0.007    0.000 {built-in method posix.stat}
     3778    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     1665    0.003    0.000    0.006    0.000 parser.py:139(<genexpr>)
        1    0.000    0.000    0.006    0.006 _constrained_layout.py:16(<module>)
    27553    0.006    0.000    0.006    0.000 {built-in method _operator.index}
        2    0.000    0.000    0.006    0.003 __init__.py:15(<module>)
     2360    0.001    0.000    0.006    0.000 enum.py:265(__call__)
     1185    0.004    0.000    0.006    0.000 linalg.py:141(_commonType)
      948    0.004    0.000    0.006    0.000 util.py:167(__call__)
        1    0.000    0.000    0.006    0.006 legend.py:22(<module>)
        1    0.000    0.000    0.006    0.006 patches.py:1(<module>)
      150    0.000    0.000    0.006    0.000 cm.py:68(_generate_cmap)
        1    0.000    0.000    0.006    0.006 lines.py:4(<module>)
     1896    0.004    0.000    0.006    0.000 weakref.py:109(remove)
     1660    0.006    0.000    0.006    0.000 {built-in method numpy.core.multiarray.concatenate}
       64    0.001    0.000    0.006    0.000 colors.py:697(from_list)
        1    0.000    0.000    0.006    0.006 ssl.py:91(<module>)
      948    0.002    0.000    0.005    0.000 connection.py:130(__del__)
       27    0.000    0.000    0.005    0.000 pyparsing.py:2779(__init__)
        1    0.000    0.000    0.005    0.005 mathtext.py:16(<module>)
        1    0.000    0.000    0.005    0.005 case.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:41(<module>)
        1    0.000    0.000    0.005    0.005 utils.py:5(<module>)
