M = 0  out of  250
M = 25  out of  250
M = 50  out of  250
M = 75  out of  250
M = 100  out of  250
M = 125  out of  250
M = 150  out of  250
M = 175  out of  250
M = 200  out of  250
M = 225  out of  250
         4493559 function calls (4487363 primitive calls) in 61.601 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      211    0.001    0.000    0.006    0.000 sre_compile.py:221(_compile_charset)
      800    0.001    0.000    0.001    0.000 numeric.py:1327(<listcomp>)
        1    0.001    0.001    0.003    0.003 <frozen importlib._bootstrap_external>:106(_write_atomic)
      177    0.001    0.000    0.001    0.000 ntpath.py:120(splitdrive)
      223    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
       86    0.001    0.000    0.001    0.000 docstring.py:44(__call__)
      800    0.000    0.000    0.000    0.000 numeric.py:1335(<listcomp>)
     2303    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      667    0.000    0.000    0.001    0.000 {built-in method from_bytes}
      561    0.000    0.000    0.001    0.000 pyparsing.py:340(__new__)
      323    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:818(__init__)
        2    0.000    0.000    0.001    0.001 six.py:1(<module>)
      645    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
    49/13    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
     1194    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      492    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
      434    0.000    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      399    0.000    0.000    0.185    0.000 <frozen importlib._bootstrap_external>:1165(find_spec)
      439    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:170(__exit__)
       57    0.000    0.000    0.000    0.000 sre_compile.py:376(<listcomp>)
      647    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
     1520    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
      439    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
        6    0.000    0.000    0.004    0.001 patches.py:1811(_pprint_styles)
      159    0.000    0.000    0.000    0.000 enum.py:301(__setattr__)
       50    0.000    0.000    0.001    0.000 ntpath.py:197(split)
      682    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
      415    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       36    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       21    0.000    0.000    0.001    0.000 abc.py:132(__new__)
      323    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:412(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 _mathtext_data.py:3(<module>)
       22    0.000    0.000    0.006    0.000 traceback.py:313(extract)
      412    0.000    0.000    0.005    0.000 colors.py:113(is_color_like)
      310    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      781    0.000    0.000    0.001    0.000 sre_parse.py:165(append)
      208    0.000    0.000    0.004    0.000 rcsetup.py:359(validate_color_for_prop_cycle)
        1    0.000    0.000    0.311    0.311 pyplot.py:17(<module>)
      290    0.000    0.000    0.000    0.000 rcsetup.py:122(validate_bool)
      399    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:645(find_spec)
     2316    0.000    0.000    0.000    0.000 inspect.py:2457(kind)
       50    0.000    0.000    0.003    0.000 pyparsing.py:3917(parseImpl)
       76    0.000    0.000    0.004    0.000 rcsetup.py:98(<listcomp>)
     2111    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
